name,last_season,country_of_birth,date_of_birth,position,foot,height_in_cm,contract_expiration_date,market_value_in_eur,highest_market_value_in_eur
José de León,2023,Spain,2004-03-02 00:00:00,Attack,right,185.0,2029-06-30 00:00:00,200000.0,200000.0
Jack Hinshelwood,2024,England,2005-04-11 00:00:00,Defender,right,182.0,2028-06-30 00:00:00,16000000.0,16000000.0
Will Alves,2022,England,2005-05-04 00:00:00,Midfield,right,,2023-06-30 00:00:00,,
Felix,2022,Brazil,2002-01-02 00:00:00,Defender,left,185.0,,,
Sorriso,2024,Brazil,2001-02-23 00:00:00,Attack,right,175.0,2025-06-30 00:00:00,2500000.0,2500000.0
Ricardinho,2021,Brazil,2001-04-23 00:00:00,Attack,right,181.0,2025-12-31 00:00:00,1500000.0,1500000.0
Adson,2023,Brazil,2000-10-06 00:00:00,Attack,left,171.0,2027-12-31 00:00:00,4500000.0,6000000.0
Thomas Luciano,2023,Brazil,2002-01-14 00:00:00,Defender,right,180.0,2024-12-31 00:00:00,200000.0,200000.0
Tiago Santana,2023,Brazil,1998-04-14 00:00:00,Defender,both,188.0,,500000.0,500000.0
Alan Gobetti,2023,Brazil,2001-02-12 00:00:00,Goalkeeper,right,193.0,,100000.0,100000.0
César Augusto,2024,Brazil,2003-08-23 00:00:00,Goalkeeper,right,194.0,2026-06-30 00:00:00,50000.0,50000.0
Bradley Ibrahim,2023,England,2004-10-21 00:00:00,Midfield,,185.0,2027-06-30 00:00:00,400000.0,400000.0
Lucas Beraldo,2024,Brazil,2003-11-24 00:00:00,Defender,left,182.0,2028-06-30 00:00:00,30000000.0,30000000.0
Louie Marsh,2023,England,2004-07-02 00:00:00,Attack,right,176.0,2026-06-30 00:00:00,100000.0,100000.0
Oliver Arblaster,2023,England,2004-01-08 00:00:00,Midfield,right,180.0,2028-06-30 00:00:00,450000.0,450000.0
Mason Burstow,2023,England,2003-08-04 00:00:00,Attack,right,187.0,2028-06-30 00:00:00,1800000.0,1800000.0
Ryan Trevitt,2024,England,2003-03-12 00:00:00,Midfield,right,17.0,2026-06-30 00:00:00,275000.0,275000.0
Arthur Chaves,2024,Brazil,2001-01-29 00:00:00,Defender,right,188.0,,1200000.0,2000000.0
Ítalo,2023,Brazil,2002-02-18 00:00:00,Defender,left,195.0,2027-06-30 00:00:00,800000.0,800000.0
Paulo Victor,2024,Brazil,2001-04-13 00:00:00,Defender,left,180.0,2026-06-30 00:00:00,1500000.0,2200000.0
Adrian Blake,2024,England,2005-07-15 00:00:00,Attack,,,2027-06-30 00:00:00,500000.0,500000.0
Brice Negouai,2023,France,2002-02-17 00:00:00,Defender,right,185.0,,,
Josh Feeney,2023,England,2005-05-06 00:00:00,Defender,right,196.0,2025-05-31 00:00:00,500000.0,500000.0
Yanis Guermouche,2023,France,2001-04-15 00:00:00,Attack,right,192.0,2026-06-30 00:00:00,125000.0,250000.0
Amario Cozier-Duberry,2023,England,2005-05-29 00:00:00,Attack,left,170.0,2028-06-30 00:00:00,2000000.0,2000000.0
Reuell Walters,2023,England,2004-12-16 00:00:00,Defender,right,186.0,,4000000.0,4000000.0
Zé Vítor,2024,Brazil,2001-02-09 00:00:00,Defender,left,189.0,2027-06-30 00:00:00,100000.0,100000.0
Vialle,2024,Brazil,2002-08-19 00:00:00,Defender,right,186.0,2028-06-30 00:00:00,150000.0,150000.0
Aylan Benyahia-Tani,2021,France,2005-07-19 00:00:00,Attack,,,2024-06-30 00:00:00,250000.0,250000.0
Musa Drammeh,2024,Spain,2001-11-26 00:00:00,Attack,right,188.0,2027-05-31 00:00:00,250000.0,250000.0
Álvaro Bastida,2023,Spain,2004-05-12 00:00:00,Midfield,right,179.0,2026-06-30 00:00:00,300000.0,1000000.0
Marvin Kaleta,2024,England,2004-09-14 00:00:00,Defender,right,,2025-05-31 00:00:00,,
Tyler Dogan,2024,Germany,2005-11-18 00:00:00,Goalkeeper,right,187.0,2025-06-30 00:00:00,75000.0,75000.0
Jeffinho,2023,Brazil,1999-12-30 00:00:00,Attack,right,176.0,2024-12-31 00:00:00,5000000.0,8000000.0
Kjell Wätjen,2024,Germany,2006-02-16 00:00:00,Midfield,right,183.0,2028-06-30 00:00:00,2000000.0,2000000.0
Almugera Kabar,2024,Germany,2006-06-06 00:00:00,Defender,left,186.0,2025-06-30 00:00:00,,
Gökdeniz Gürpüz,2024,Germany,2006-02-25 00:00:00,Midfield,right,176.0,2026-06-30 00:00:00,300000.0,300000.0
Issiaka Kamate,2024,France,2004-08-02 00:00:00,Attack,left,186.0,2025-06-30 00:00:00,1000000.0,1000000.0
Antonio Espigares,2023,Spain,2004-09-05 00:00:00,Defender,right,187.0,2027-06-30 00:00:00,500000.0,500000.0
Tom Saettel,2023,France,2005-06-19 00:00:00,Attack,right,,,100000.0,150000.0
Mohamed Bechikh,2024,France,2005-07-13 00:00:00,Attack,right,183.0,2027-06-30 00:00:00,150000.0,150000.0
Ethan Wheatley,2023,England,2006-01-20 00:00:00,Attack,,187.0,2026-06-30 00:00:00,,
Farès Ghedjemis,2023,France,2002-09-06 00:00:00,Attack,left,183.0,2026-06-30 00:00:00,600000.0,600000.0
Jules Rolland,2020,France,2001-03-31 00:00:00,Goalkeeper,right,183.0,,,
Amadou Ba-Sy,2023,France,2001-06-08 00:00:00,Attack,,191.0,2026-06-30 00:00:00,300000.0,300000.0
Pablo Montero,2021,Spain,2002-05-09 00:00:00,Missing,,168.0,2023-06-30 00:00:00,,
Óscar Rivas,2024,Spain,2000-03-27 00:00:00,Defender,both,193.0,2028-06-30 00:00:00,300000.0,300000.0
Ethan Nwaneri,2023,England,2007-03-21 00:00:00,Midfield,left,176.0,,8000000.0,8000000.0
Rachad Fettal,2023,Spain,2005-01-16 00:00:00,Attack,left,184.0,2026-06-30 00:00:00,,
Fran Árbol,2023,Spain,2006-06-30 00:00:00,Goalkeeper,left,185.0,2026-06-30 00:00:00,,
Nordine Kandil,2022,France,2001-10-31 00:00:00,Midfield,left,165.0,2025-06-30 00:00:00,600000.0,600000.0
Antoine Mendy,2024,France,2004-05-27 00:00:00,Defender,right,187.0,2025-06-30 00:00:00,800000.0,1000000.0
Gabriel Nazário,2022,Brazil,2002-04-06 00:00:00,Defender,right,189.0,2025-06-30 00:00:00,50000.0,50000.0
Eneko Ortiz,2023,Spain,2003-05-26 00:00:00,Defender,,,2025-06-30 00:00:00,150000.0,150000.0
Hugo Sotelo,2024,Spain,2003-12-19 00:00:00,Midfield,right,180.0,2025-06-30 00:00:00,2500000.0,2500000.0
Alex Quevedo,2023,Spain,2004-04-28 00:00:00,Goalkeeper,left,191.0,2028-06-30 00:00:00,,
Hugo Álvarez,2024,Spain,2003-07-02 00:00:00,Attack,right,176.0,2025-06-30 00:00:00,1500000.0,1500000.0
Amir Richardson,2024,France,2002-01-24 00:00:00,Midfield,left,197.0,2029-06-30 00:00:00,6000000.0,6000000.0
Erwan Belhadji,2020,France,2001-06-22 00:00:00,Attack,,,,250000.0,250000.0
Soumaïla Sylla,2022,France,2004-03-15 00:00:00,Goalkeeper,right,,,50000.0,50000.0
Mahamadou Susoho,2023,Spain,2005-01-20 00:00:00,Midfield,right,175.0,2025-05-31 00:00:00,1500000.0,1500000.0
Gaizka García,2023,Spain,2005-02-17 00:00:00,Goalkeeper,right,192.0,2025-06-30 00:00:00,100000.0,100000.0
Joel Roca,2022,Spain,2005-06-07 00:00:00,Attack,right,176.0,2026-06-30 00:00:00,,
Dani Pérez,2023,Spain,2005-07-26 00:00:00,Midfield,right,173.0,2025-06-30 00:00:00,500000.0,500000.0
Yarek Gasiorowski,2024,Spain,2005-01-12 00:00:00,Defender,left,192.0,2025-06-30 00:00:00,15000000.0,15000000.0
Adu Ares,2023,Spain,2001-10-12 00:00:00,Attack,right,183.0,2027-06-30 00:00:00,2000000.0,2000000.0
David Odogu,2024,Germany,2006-06-03 00:00:00,Defender,right,191.0,,,
Assan Ouédraogo,2024,Germany,2006-05-09 00:00:00,Midfield,right,191.0,2029-06-30 00:00:00,10000000.0,10000000.0
Timo Schlieck,2023,Germany,2006-03-02 00:00:00,Goalkeeper,right,195.0,2025-06-30 00:00:00,500000.0,500000.0
Bennit Bröger,2024,Germany,2006-07-01 00:00:00,Midfield,,181.0,2025-06-30 00:00:00,,
Eric da Silva Moreira,2024,Germany,2006-05-03 00:00:00,Attack,right,185.0,2028-06-30 00:00:00,1000000.0,1000000.0
Joselu Friaza,2021,Spain,2002-02-15 00:00:00,Attack,left,192.0,2023-06-30 00:00:00,,
Kevin,2024,Brazil,2003-01-04 00:00:00,Attack,right,176.0,2028-12-31 00:00:00,12000000.0,12000000.0
Neil El Aynaoui,2024,France,2001-07-02 00:00:00,Midfield,right,185.0,2027-06-30 00:00:00,8000000.0,8000000.0
Goldeson,2021,Brazil,2001-02-04 00:00:00,Attack,right,184.0,,,
Ethan Mbappé,2024,France,2006-12-29 00:00:00,Midfield,left,176.0,2027-06-30 00:00:00,1500000.0,1500000.0
Senny Mayulu,2024,France,2006-05-17 00:00:00,Midfield,both,183.0,2027-06-30 00:00:00,5000000.0,5000000.0
Louis Mouton,2024,France,2002-06-03 00:00:00,Midfield,right,180.0,2025-06-30 00:00:00,600000.0,700000.0
Yannis Nahounou,2023,France,2004-05-16 00:00:00,Defender,right,193.0,2026-06-30 00:00:00,50000.0,150000.0
Enzo Garrido,2022,France,2003-07-26 00:00:00,Goalkeeper,right,182.0,2023-06-30 00:00:00,,
Justin Smith,2021,France,2003-02-04 00:00:00,Midfield,right,190.0,2023-06-30 00:00:00,100000.0,300000.0
Noël Aséko Nkili,2024,Germany,2005-11-22 00:00:00,Midfield,right,178.0,2026-06-30 00:00:00,750000.0,750000.0
Ibrahim Maza,2022,Germany,2005-11-24 00:00:00,Attack,right,180.0,2024-06-30 00:00:00,600000.0,600000.0
Arthur Sales,2022,Brazil,2002-07-03 00:00:00,Attack,left,184.0,2023-12-31 00:00:00,900000.0,900000.0
Pablo Durán,2024,Spain,2001-05-25 00:00:00,Attack,right,176.0,2027-06-30 00:00:00,300000.0,300000.0
Ricard Artero,2023,Spain,2003-02-05 00:00:00,Midfield,right,181.0,2026-06-30 00:00:00,200000.0,200000.0
Du Queiroz,2023,Brazil,2000-01-07 00:00:00,Midfield,right,171.0,2024-12-31 00:00:00,3000000.0,6000000.0
James Debayo,2022,England,2005-07-11 00:00:00,Defender,,,2023-06-30 00:00:00,,
Gabri Martínez,2024,Spain,2003-01-22 00:00:00,Attack,right,185.0,2029-06-30 00:00:00,1800000.0,1800000.0
George Abbott,2022,England,2005-08-17 00:00:00,Midfield,right,175.0,,,
Axel Piesold,2023,England,2005-03-31 00:00:00,Midfield,left,,2025-05-31 00:00:00,150000.0,150000.0
Harrison Clark,2021,England,2003-05-11 00:00:00,Midfield,right,,2023-06-30 00:00:00,100000.0,100000.0
Luca Raimund,2024,Germany,2005-04-09 00:00:00,Attack,left,188.0,2026-06-30 00:00:00,500000.0,500000.0
Pablo Marín,2024,Spain,2003-07-03 00:00:00,Midfield,right,178.0,2027-06-30 00:00:00,1500000.0,1500000.0
Özcan Şahan,2023,France,1999-01-08 00:00:00,Defender,right,176.0,2028-06-30 00:00:00,75000.0,75000.0
Felipe Silva,2023,Brazil,2002-02-19 00:00:00,Defender,left,188.0,2025-06-30 00:00:00,250000.0,250000.0
Nabil Aberdin,2023,France,2002-08-23 00:00:00,Defender,right,192.0,2025-06-30 00:00:00,100000.0,100000.0
Matthew Whittingham,2023,England,2004-10-21 00:00:00,Midfield,left,,,150000.0,150000.0
Tim Schleinitz,2023,Germany,2005-06-10 00:00:00,Midfield,,178.0,2026-06-30 00:00:00,75000.0,75000.0
Clinton Nsiala,2024,France,2004-01-17 00:00:00,Defender,left,189.0,,200000.0,200000.0
Thérence Koudou,2023,France,2004-12-13 00:00:00,Defender,right,178.0,,800000.0,800000.0
Mamadou Sarr,2024,France,2005-08-29 00:00:00,Defender,right,194.0,2029-06-30 00:00:00,1000000.0,1000000.0
Mohamed Kaba,2024,France,2001-10-27 00:00:00,Midfield,right,185.0,2027-06-30 00:00:00,3500000.0,3500000.0
Malcom Musquet,2021,France,2002-04-15 00:00:00,Defender,left,183.0,,100000.0,100000.0
